id,trip_id,stop_number,nass_code,facility,arrive_time,load_unload,depart_time,vehicle,freq,freq_days,eff_date,exp_date,trip_miles,trip_hrs,drive_time
71,29,3,03060,NASHUA,11:30:00 ET,9 min,11:39:00 ET,,,0.0,0,,0.0,0.0,0.0
72,29,4,030LG,LIFE IS GOOD,11:55:00 ET,9 min,12:04:00 ET,,,0.0,0,,0.0,0.0,0.0
73,29,5,03051,HUDSON,12:20:00 ET,9 min,12:29:00 ET,,,0.0,0,,0.0,0.0,0.0
74,29,6,030HS,HUDSON MALL,12:40:00 ET,9 min,12:49:00 ET,,,0.0,0,,0.0,0.0,0.0
75,29,7,030NA,REGIONAL HOME CARE,13:18:00 ET,6 min,13:24:00 ET,,,0.0,0,,0.0,0.0,0.0
76,30,1,030NA,REGIONAL HOME CARE,13:24:00 ET,6 min,13:30:00 ET,24VN,,0.0,0,,5.3,0.68,0.33
77,30,2,030,MANCHESTER,13:50:00 ET,15 min,14:05:00 ET,,,0.0,0,,0.0,0.0,0.0
78,31,1,030,MANCHESTER,10:15:00 ET,15 min,10:30:00 ET,24VN,,0.0,0,,25.4,2.02,1.19
79,31,2,03054,MERRIMACK,10:51:00 ET,9 min,11:00:00 ET,,,0.0,0,,0.0,0.0,0.0
80,31,3,03060,NASHUA,11:30:00 ET,15 min,11:45:00 ET,,,0.0,0,,0.0,0.0,0.0
81,31,4,030HS,HUDSON MALL,11:55:00 ET,5 min,12:00:00 ET,,,0.0,0,,0.0,0.0,0.0
82,31,5,03051,HUDSON,12:10:00 ET,6 min,12:16:00 ET,,,0.0,0,,0.0,0.0,0.0
83,32,1,03051,HUDSON,12:17:00 ET,9 min,12:26:00 ET,24VN,,0.0,0,,20.8,1.97,1.57
84,32,2,030,MANCHESTER,14:00:00 ET,15 min,14:15:00 ET,,,0.0,0,,0.0,0.0,0.0
85,33,1,030,MANCHESTER,13:50:00 ET,15 min,14:05:00 ET,24VN,K7,303.0,12/06/2024,06/30/2026,,,,
86,33,2,03054,MERRIMACK,14:24:00 ET,6 min,14:30:00 ET,,,0.0,0,,9.7,0.67,0.32
87,34,1,03054,MERRIMACK,14:31:00 ET,15 min,14:46:00 ET,24VN,K7,303.0,12/06/2024,06/30/2026,,,,
88,34,2,030,MANCHESTER,15:05:00 ET,15 min,15:20:00 ET,,,0.0,0,,9.4,0.82,0.32
89,35,1,030,MANCHESTER,15:40:00 ET,15 min,15:55:00 ET,24VN,Q67,,255.0,12/06/2024,06/30/2026,,,,
90,35,2,030NA,REGIONAL HOME CARE,16:10:00 ET,9 min,16:19:00 ET,,,0.0,0,,30.5,2.57,1.62
91,35,3,030AI,ATLANTIC INNOVATIONS,16:55:00 ET,9 min,17:04:00 ET,,,0.0,0,,0.0,0.0,0.0
92,35,4,030PM,NASHUA,17:30:00 ET,15 min,17:45:00 ET,,,0.0,0,,0.0,0.0,0.0
93,35,5,03054,MERRIMACK,18:05:00 ET,9 min,18:14:00 ET,,,0.0,0,,0.0,0.0,0.0
94,36,1,03054,MERRIMACK,18:15:00 ET,6 min,18:21:00 ET,24VN,Q67,,255.0,12/06/2024,06/30/2026,,,,
95,36,2,030,MANCHESTER,18:40:00 ET,15 min,18:55:00 ET,,,0.0,0,,9.4,0.67,0.32
96,37,1,030,MANCHESTER,17:10:00 ET,15 min,17:25:00 ET,24VN,6,,52.0,12/06/2024,06/30/2026,,,,
97,37,2,03054,MERRIMACK,17:44:00 ET,6 min,17:50:00 ET,,,0.0,0,,9.7,0.67,0.32
98,38,1,03054,MERRIMACK,17:51:00 ET,9 min,18:00:00 ET,24VN,6,,52.0,12/06/2024,06/30/2026,,,,
99,38,2,030,MANCHESTER,18:20:00 ET,15 min,18:35:00 ET,,,0.0,0,,9.4,0.73,0.33
100,39,1,030,MANCHESTER,02:45:00 ET,15 min,03:00:00 ET,24LG,K7,303.0,12/06/2024,06/30/2026,,,,
101,39,2,03032,AUBURN,03:25:00 ET,9 min,03:34:00 ET,,,0.0,0,,24.0,2.12,1.47
102,39,3,03034,CANDIA,03:53:00 ET,9 min,04:02:00 ET,,,0.0,0,,0.0,0.0,0.0
103,39,4,03077,RAYMOND,04:46:00 ET,6 min,04:52:00 ET,,,0.0,0,,0.0,0.0,0.0
104,40,1,03077,RAYMOND,04:53:00 ET,6 min,04:59:00 ET,24LG,,0.0,0,,19.2,0.70,0.35
105,40,2,030,MANCHESTER,05:20:00 ET,15 min,05:35:00 ET,,,0.0,0,,0.0,0.0,0.0
106,41,1,030,MANCHESTER,05:00:00 ET,15 min,05:15:00 ET,24LG,,0.0,0,,0.0,0.0,0.0
107,41,2,03077,RAYMOND,05:50:00 ET,9 min,05:59:00 ET,,,0.0,0,,0.0,0.0,0.0
108,41,3,03824,DURHAM,06:40:00 ET,5 min,06:45:00 ET,,,0.0,0,,0.0,0.0,0.0
109,1007,1,030,MANCHESTER,16:05:00 ET,15 min,16:20:00 ET,24LG,,0.0,0,,21.5,0.80,0.40
110,1007,2,03255,NEWBURY,16:44:00 ET,9 min,16:53:00 ET,,,0.0,0,,0.0,0.0,0.0
111,1008,1,03255,NEWBURY,16:54:00 ET,6 min,17:00:00 ET,24LG,,0.0,0,,21.6,1.23,0.58
112,1008,2,03221,BRADFORD,17:11:00 ET,9 min,17:20:00 ET,,,0.0,0,,0.0,0.0,0.0
113,1008,3,03278,WARNER,17:34:00 ET,9 min,17:43:00 ET,,,0.0,0,,0.0,0.0,0.0
114,1008,4,03229,CONTOOCOOK,17:53:00 ET,15 min,18:08:00 ET,,,0.0,0,,0.0,0.0,0.0
115,1025,1,03431,KEENE,05:15:00 ET,15 min,05:30:00 ET,24LG,,0.0,0,,22.4,1.22,0.57
